Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  , 
Kernel       , DGZ      , DZG      , GDZ      , GZD      , ZDG      , ZGD     
Apps_LTIMES  , 4.561310 , 0.555399 , 3.224635 , 0.546528 , 0.546838 , 0.432836
